elapsed_time,movement_counter,adjusted_acceleration,max_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z,ball_distance_traveled,movement_time,speed
2.607,18,0.2205320655247554,0.2397439381616298,34.667968999999985,0,1,1411.0,1304.0,-1810.0,0.0,0.037,1.776
2.611,18,0.2397439381616298,0.2397439381616298,34.667968999999985,0,0,1411.0,1304.0,-1810.0,0.0,0.037,1.776
2.612,18,0.2397439381616298,0.2397439381616298,34.667968999999985,0,0,1411.0,1304.0,-1810.0,0.0,0.037,1.776
2.656,18,0.1922659988988511,0.2397439381616298,34.667968999999985,0,0,1411.0,1304.0,-1810.0,0.0,0.037,1.776
2.716,19,0.1922659988988511,0.1922659988988511,34.667968999999985,0,0,1389.0,1342.0,-1900.0,0.044,0.187,1.7036
2.72,19,0.1922659988988511,0.1922659988988511,34.667968999999985,0,0,1389.0,1342.0,-1900.0,0.0,0.187,1.7036
2.79,19,0.1922659988988511,0.1922659988988511,34.667968999999985,0,1,1389.0,1342.0,-1900.0,0.0,0.187,1.7036
2.791,19,0.1922659988988511,0.1922659988988511,34.667968999999985,0,1,1389.0,1342.0,-1900.0,0.0,0.187,1.7036
2.829,20,0.1922659988988511,0.2233396455207208,34.667968999999985,0,1,1456.0,1380.0,-1897.0,0.077,0.113,2.4531
2.83,20,0.1922659988988511,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.034,0.001,2.4531
2.832,20,0.1922659988988511,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.0,0.001,2.4531
2.836,20,0.2233396455207208,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.0,0.001,2.4531
2.837,20,0.2233396455207208,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.0,0.001,2.4531
2.838,20,0.177688139830646,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.0,0.001,2.4531
2.881,20,0.1808694503405206,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.0,0.001,2.4531
2.908,20,0.1808694503405206,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.0,0.001,2.4531
2.926,20,0.1742820664470737,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.0,0.001,2.4531
2.927,20,0.1742820664470737,0.2233396455207208,34.667968999999985,0,1,1454.0,1346.0,-1947.0,0.0,0.001,2.4531
2.942,21,0.1742820664470737,0.1742820664470737,34.667968999999985,0,1,1425.0,1403.0,-2039.0,0.064,0.112,3.1221
2.971,21,0.1713726815290027,0.1742820664470737,34.667968999999985,0,1,1425.0,1403.0,-2039.0,0.0,0.112,3.1221
2.973,21,0.1713726815290027,0.1742820664470737,34.667968999999985,0,1,1425.0,1403.0,-2039.0,0.0,0.112,3.1221
3.02,21,0.1713726815290027,0.1742820664470737,34.667968999999985,0,1,1425.0,1403.0,-2039.0,0.0,0.112,3.1221
3.054,22,0.1713726815290027,0.1787603054911788,34.667968999999985,0,1,1475.0,1420.0,-2069.0,0.053,0.112,1.7036
3.061,22,0.17389368719022058,0.1787603054911788,34.667968999999985,0,1,1475.0,1420.0,-2069.0,0.0,0.112,1.7036
3.062,22,0.1753274472989557,0.1787603054911788,34.667968999999985,0,0,1475.0,1420.0,-2069.0,0.0,0.112,1.7036
3.129,22,0.1753274472989557,0.1787603054911788,34.667968999999985,0,0,1488.0,1399.0,-2096.0,0.025,0.075,1.7036
3.133,22,0.1753274472989557,0.1787603054911788,34.667968999999985,0,1,1488.0,1399.0,-2096.0,0.0,0.075,1.7036
3.151,22,0.1768404886179587,0.1787603054911788,34.667968999999985,0,0,1488.0,1399.0,-2096.0,0.0,0.075,1.7036
3.153,22,0.1768404886179587,0.1787603054911788,34.667968999999985,0,0,1488.0,1399.0,-2096.0,0.0,0.075,1.7036
3.196,22,0.1787603054911788,0.1787603054911788,34.667968999999985,0,0,1488.0,1399.0,-2096.0,0.0,0.075,1.7036
3.198,22,0.1787603054911788,0.1787603054911788,34.667968999999985,0,0,1488.0,1399.0,-2096.0,0.0,0.075,1.7036
3.208,22,0.1787603054911788,0.1787603054911788,34.667968999999985,0,0,1488.0,1399.0,-2096.0,0.0,0.075,1.7036
3.241,23,0.1774905830064972,0.1776753347594051,34.667968999999985,0,0,1493.0,1341.0,-2139.0,0.058,0.112,1.5979
3.286,23,0.1769706192927378,0.1776753347594051,34.667968999999985,0,1,1493.0,1341.0,-2139.0,0.0,0.112,1.5979
3.32,23,0.1769706192927378,0.1776753347594051,34.667968999999985,0,1,1493.0,1341.0,-2139.0,0.0,0.112,1.5979
3.331,23,0.1776753347594051,0.1776753347594051,34.667968999999985,0,1,1493.0,1341.0,-2139.0,0.0,0.112,1.5979
3.332,23,0.1776753347594051,0.1776753347594051,34.667968999999985,0,1,1493.0,1341.0,-2139.0,0.0,0.112,1.5979
3.354,24,0.1776753347594051,0.1785575264474413,34.667968999999985,0,1,1495.0,1302.0,-2166.0,0.039,0.113,1.2425
3.375,24,0.1785575264474413,0.1785575264474413,34.667968999999985,0,1,1495.0,1302.0,-2166.0,0.0,0.113,1.2425
3.376,24,0.1785575264474413,0.1785575264474413,34.667968999999985,0,1,1495.0,1302.0,-2166.0,0.0,0.113,1.2425
3.42,24,0.1765469558493647,0.1785575264474413,34.667968999999985,0,1,1495.0,1302.0,-2166.0,0.0,0.113,1.2425
3.421,24,0.1765469558493647,0.1785575264474413,34.667968999999985,0,1,1495.0,1302.0,-2166.0,0.0,0.113,1.2425
3.433,24,0.1765469558493647,0.1785575264474413,34.667968999999985,0,1,1495.0,1302.0,-2166.0,0.0,0.113,1.2425
3.466,24,0.1760386224602291,0.1785575264474413,34.667968999999985,0,0,1495.0,1302.0,-2166.0,0.0,0.113,1.2425
3.467,25,0.1760386224602291,0.1782773420663069,34.667968999999985,0,0,1493.0,1295.0,-2173.0,0.007,0.113,0.223
3.508,25,0.1760386224602291,0.1782773420663069,34.667968999999985,0,0,1493.0,1295.0,-2173.0,0.0,0.113,0.223
3.511,25,0.17571760185773,0.1782773420663069,34.667968999999985,0,0,1493.0,1295.0,-2173.0,0.0,0.113,0.223
3.542,25,0.17571760185773,0.1782773420663069,34.667968999999985,0,0,1472.0,1314.0,-2148.0,0.028,0.075,0.223
3.555,25,0.1782773420663069,0.1782773420663069,34.667968999999985,0,0,1472.0,1314.0,-2148.0,0.0,0.075,0.223
